Company Name,Overall Rating,Number of Reviews,Highly Rated %,Critical Rated %,About
Piramal Finance,4.2,(6k),"Company Culture, Work Life Balance, Skill Development / Learning",,NBFC | Mumbai +423 other locations
Virtusa Consulting Services,3.7,(5.9k),"Promotions / Appraisal, Work Satisfaction, Job Security",,IT Services & Consulting | Hyderabad / Secunderabad +55 other locations
DMart,3.9,(5.9k),"Job Security, Company Culture",Promotions / Appraisal,Retail | Mumbai +247 other locations
Indiamart Intermesh,3.5,(5.8k),"Work Satisfaction, Promotions / Appraisal, Company Culture",,Internet | Noida +173 other locations
HSBC Group,3.9,(5.8k),"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",Financial Services | Bangalore / Bengaluru +63 other locations
SMFG India Credit,3.9,(5.8k),Salary & Benefits,Promotions / Appraisal,NBFC | Mumbai +596 other locations
Aurobindo Pharma,4.0,(5.7k),"Job Security, Salary & Benefits, Work Life Balance",Promotions / Appraisal,Pharma | Hyderabad / Secunderabad +116 other locations
Udaan,3.9,(5.7k),"Salary & Benefits, Skill Development / Learning","Job Security, Promotions / Appraisal",Internet | Bangalore / Bengaluru +367 other locations
Access Healthcare,3.7,(5.7k),Job Security,"Promotions / Appraisal, Skill Development / Learning",BPO | Chennai +64 other locations
Siemens,3.9,(5.7k),"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,Industrial Automation | Bangalore / Bengaluru +153 other locations
BigBasket,3.9,(5.7k),"Job Security, Skill Development / Learning",Promotions / Appraisal,Internet | Bangalore / Bengaluru +140 other locations
PolicyBazaar,3.7,(5.7k),Salary & Benefits,"Work Life Balance, Company Culture, Work Satisfaction",Internet | Gurgaon / Gurugram +149 other locations
Manappuram Finance,3.9,(5.6k),"Work Life Balance, Promotions / Appraisal, Skill Development / Learning",,NBFC | Bangalore / Bengaluru +652 other locations
ICICI Lombard General Insurance Company,3.5,(5.6k),"Promotions / Appraisal, Work Satisfaction, Company Culture",,Insurance | Mumbai +313 other locations
Tata Capital,4.0,(5.6k),"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,NBFC | Mumbai +440 other locations
Firstsource Solutions,3.5,(5.6k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,BPO | Bangalore / Bengaluru +74 other locations
GlobalLogic,3.5,(5.6k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,IT Services & Consulting | Hyderabad / Secunderabad +60 other locations
Shapoorji Pallonji Group,4.1,(5.6k),"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,Engineering & Construction | Mumbai +190 other locations
Standard Chartered,3.6,(5.6k),"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",,Banking | Chennai +67 other locations
Mahindra Finance,3.9,(5.5k),Promotions / Appraisal,,NBFC | Mumbai +731 other locations
Apollo Hospitals,4.1,(5.5k),"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,Healthcare | Chennai +228 other locations
Bosch Global Software Technologies,3.7,(5.5k),"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting | Bangalore / Bengaluru +47 other locations
UST,3.7,(5.5k),Work Life Balance,"Promotions / Appraisal, Job Security, Salary & Benefits",IT Services & Consulting | Bangalore / Bengaluru +51 other locations
Ashok Leyland,4.0,(5.5k),"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal,Automobile | Chennai +260 other locations
Swiggy,3.7,(5.4k),"Promotions / Appraisal, Job Security, Work Satisfaction",,Internet | Bangalore / Bengaluru +229 other locations
Citicorp,3.7,(5.4k),Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",Financial Services | Pune +68 other locations
Hero MotoCorp,4.1,(5.3k),"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,Automobile | Gurgaon / Gurugram +365 other locations
CGI Group,4.0,(5.3k),"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits",IT Services & Consulting | Bangalore / Bengaluru +43 other locations
Cyient,3.6,(5.2k),"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",,IT Services & Consulting | Hyderabad / Secunderabad +48 other locations
SBI Cards & Payment Services,3.6,(5.2k),"Promotions / Appraisal, Work Satisfaction, Company Culture",,Financial Services | Gurgaon / Gurugram +438 other locations
Kalpataru Projects International,4.2,(5.1k),"Job Security, Skill Development / Learning, Salary & Benefits",,Engineering & Construction | Mumbai +320 other locations
BNY,3.6,(5.1k),Work Life Balance,"Promotions / Appraisal, Job Security, Work Satisfaction",Financial Services | Pune +25 other locations
JustDial,3.5,(5.1k),"Promotions / Appraisal, Job Security, Work Satisfaction",,Internet | Noida +229 other locations
IQVIA,3.7,(5.1k),"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",Clinical Research | Bangalore / Bengaluru +65 other locations
NTT DATA,3.8,(5k),Work Life Balance,Promotions / Appraisal,IT Services & Consulting | Bangalore / Bengaluru +80 other locations
Nagarjuna Construction Company,4.0,(5k),"Job Security, Company Culture, Work Life Balance",,Engineering & Construction | Hyderabad / Secunderabad +296 other locations
SBI Life Insurance Company,3.7,(5k),Job Security,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",Insurance | Mumbai +655 other locations
CBRE,4.1,(5k),"Company Culture, Work Life Balance, Job Security",,Real Estate | Hyderabad / Secunderabad +91 other locations
TVS Motor,3.9,(5k),"Job Security, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal,Automobile | Hosur +351 other locations
Schneider Electric,4.2,(5k),"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,Industrial Automation | Bangalore / Bengaluru +119 other locations
Persistent Systems,3.6,(4.9k),"Promotions / Appraisal, Job Security, Work Satisfaction",,IT Services & Consulting | Pune +41 other locations
State Bank of India,3.8,(4.9k),"Job Security, Skill Development / Learning, Salary & Benefits",,Banking | Mumbai +618 other locations
vivo,4.1,(4.9k),"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,Consumer Electronics & Appliances | Noida +414 other locations
Atos,3.8,(4.9k),Work Life Balance,"Promotions / Appraisal, Salary & Benefits",IT Services & Consulting | Pune +49 other locations
Ecom Express,4.0,(4.8k),"Work Life Balance, Company Culture, Work Satisfaction",,Logistics | Gurgaon / Gurugram +776 other locations
KEC International,4.0,(4.8k),"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal,Engineering & Construction | Mumbai +312 other locations
Eviden,3.6,(4.8k),Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting | Pune +39 other locations
Amdocs,3.6,(4.8k),"Promotions / Appraisal, Job Security, Work Satisfaction",,Software Product | Pune +24 other locations
JBM Group,3.9,(4.7k),"Job Security, Skill Development / Learning",Promotions / Appraisal,Auto Components | Gurgaon / Gurugram +117 other locations
Varun Beverages,4.0,(4.7k),"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,Beverage | New Delhi +379 other locations
Nagarro,3.9,(4.7k),"Company Culture, Work Life Balance",Promotions / Appraisal,IT Services & Consulting | Gurgaon / Gurugram +49 other locations
ITC Infotech,3.7,(4.7k),Work Life Balance,Promotions / Appraisal,IT Services & Consulting | Bangalore / Bengaluru +68 other locations
Bosch,4.1,(4.6k),"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,Auto Components | Bangalore / Bengaluru +132 other locations
Randstad,3.7,(4.6k),"Promotions / Appraisal, Job Security, Skill Development / Learning",,Recruitment | Hyderabad / Secunderabad +352 other locations
Home Credit Finance,4.0,(4.6k),"Work Life Balance, Company Culture, Skill Development / Learning",,NBFC | Gurgaon / Gurugram +136 other locations
EY Global Delivery Services ( EY GDS),3.5,(4.6k),Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",IT Services & Consulting | Bangalore / Bengaluru +56 other locations
Hewlett Packard Enterprise,4.1,(4.5k),"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,IT Services & Consulting | Bangalore / Bengaluru +104 other locations
Utkarsh Small Finance Bank,3.6,(4.5k),"Promotions / Appraisal, Company Culture, Work Satisfaction",,Banking | Varanasi +407 other locations
Mahindra Logistics,3.7,(4.5k),"Promotions / Appraisal, Salary & Benefits",,Logistics | Mumbai +234 other locations
Aditya Birla Fashion and Retail,4.1,(4.5k),"Job Security, Skill Development / Learning, Company Culture",,Fashion & Textile | Bangalore / Bengaluru +291 other locations
L&T Finance,3.9,(4.5k),"Salary & Benefits, Job Security",Promotions / Appraisal,NBFC | Mumbai +633 other locations
Dell,3.8,(4.5k),"Work Life Balance, Company Culture","Promotions / Appraisal, Job Security",Consumer Electronics & Appliances | Bangalore / Bengaluru +117 other locations
CARS24,3.4,(4.5k),"Job Security, Promotions / Appraisal, Company Culture",,Internet | Gurgaon / Gurugram +171 other locations
Havells,3.9,(4.5k),"Work Life Balance, Salary & Benefits",Promotions / Appraisal,Electrical Equipment | Noida +261 other locations
OPPO,3.9,(4.4k),Skill Development / Learning,"Promotions / Appraisal, Job Security",Consumer Electronics & Appliances | Greater Noida +410 other locations
R1 RCM,3.8,(4.4k),Job Security,Promotions / Appraisal,BPO | New Delhi +46 other locations
Intas Pharmaceuticals,4.1,(4.4k),"Job Security, Salary & Benefits, Work Life Balance",,Pharma | Ahmedabad +148 other locations
Tata AIA Life Insurance,3.9,(4.4k),"Job Security, Skill Development / Learning, Salary & Benefits",,Insurance | Mumbai +441 other locations
Hyundai Motor India Limited,4.1,(4.4k),"Job Security, Salary & Benefits, Company Culture",,Automobile | Chennai +286 other locations
Deutsche Bank,3.8,(4.3k),"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,Banking | Pune +42 other locations
Hetero,3.9,(4.3k),"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",Pharma | Hyderabad / Secunderabad +68 other locations
Motilal Oswal Financial Services,3.7,(4.3k),Skill Development / Learning,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",Financial Services | Mumbai +168 other locations
Berger Paints,3.7,(4.3k),"Promotions / Appraisal, Company Culture, Work Life Balance",,Chemicals | Kolkata +354 other locations
Team Lease,3.9,(4.3k),Work Life Balance,Promotions / Appraisal,Recruitment | Bangalore / Bengaluru +400 other locations
VE Commercial Vehicles,3.9,(4.2k),"Job Security, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",Automobile | Indore +179 other locations
Lenskart,3.3,(4.2k),"Promotions / Appraisal, Company Culture, Work Life Balance",,Internet | New Delhi +239 other locations
Thermax Limited,4.2,(4.2k),"Job Security, Company Culture, Skill Development / Learning",,Industrial Machinery | Pune +252 other locations
Bajaj Auto,3.8,(4.1k),Promotions / Appraisal,,Automobile | Pune +319 other locations
Macleods Pharmaceuticals,3.7,(4.1k),Job Security,"Promotions / Appraisal, Company Culture",Pharma | Mumbai +134 other locations
Kogta Financial India Limited,4.7,(4.1k),"Company Culture, Work Life Balance, Work Satisfaction",,NBFC | Jaipur +259 other locations
Aakash Educational Services,3.2,(4.1k),"Promotions / Appraisal, Work Life Balance, Job Security",,Education & Training | New Delhi +244 other locations
Jubilant Foods Works,3.7,(4.1k),Promotions / Appraisal,,Hospitality | New Delhi +261 other locations
LG Electronics,3.9,(4.1k),"Job Security, Skill Development / Learning",Promotions / Appraisal,Consumer Electronics & Appliances | Pune +298 other locations
Hindalco Industries,4.2,(4k),"Job Security, Work Life Balance, Skill Development / Learning",,Metals & Mining | Sambalpur +128 other locations
Royal Enfield,4.2,(4k),"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal,Automobile | Chennai +373 other locations
Jindal Steel Limited,3.9,(4k),Skill Development / Learning,Promotions / Appraisal,Iron & Steel | Angul +175 other locations
Tata Communications,3.9,(4k),"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits",Telecom | Pune +102 other locations
DCB Bank,3.8,(4k),Work Life Balance,Promotions / Appraisal,Banking | Mumbai +342 other locations
John Deere,4.0,(4k),"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,Industrial Machinery | Pune +155 other locations
State Street Corporation,3.5,(4k),"Promotions / Appraisal, Salary & Benefits, Company Culture",,Financial Services | Bangalore / Bengaluru +35 other locations
HDFC Ergo General Insurance,4.0,(4k),"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,Insurance | Mumbai +327 other locations
RBL Bank,3.5,(3.9k),"Promotions / Appraisal, Company Culture, Work Satisfaction",,Banking | Mumbai +286 other locations
Cummins,4.3,(3.9k),"Company Culture, Work Life Balance, Work Satisfaction",,Industrial Machinery | Pune +115 other locations
Oyo Rooms,3.1,(3.9k),"Job Security, Company Culture, Work Life Balance",,Internet | Gurgaon / Gurugram +122 other locations
Alembic Pharmaceuticals,3.9,(3.8k),"Salary & Benefits, Work Life Balance",,Pharma | Vadodara +186 other locations
Pidilite Industries,4.2,(3.8k),"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,Chemicals | Mumbai +315 other locations
Bank of America,4.1,(3.8k),"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,Banking | Gurgaon / Gurugram +35 other locations
Reliance Communications,4.0,(3.8k),"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,Telecom | Mumbai +468 other locations
Publicis Sapient,3.4,(3.8k),"Promotions / Appraisal, Job Security, Work Satisfaction",,IT Services & Consulting | Bangalore / Bengaluru +46 other locations
Carelon Global Solutions,3.9,(4.1k),"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,IT Services & Consulting | Bangalore / Bengaluru +21 other locations
Subros,3.8,(3.8k),"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal",Auto Components | Noida +89 other locations
American Express,4.1,(3.8k),"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,Financial Services | Gurgaon / Gurugram +53 other locations
Viatris,4.1,(3.8k),"Salary & Benefits, Job Security, Work Life Balance",,Pharma | Hyderabad / Secunderabad +80 other locations
